Cancer Type,Gender,Survival (%)
Cervix,Female,96.3
Cervix,Female,93.9
Cervix,Female,91.9
Cervix,Female,96.2
Cervix,Female,95.2
Cervix,Female,96.2
Cervix,Female,92.5
Cervix,Female,88.7
Cervix,Female,87.7
Cervix,Female,92.8
Cervix,Female,81.8
Cervix,Female,80.1
Cervix,Female,82.6
Cervix,Female,87.6
Cervix,Female,75.5
Cervix,Female,76.9
Cervix,Female,76.9
Cervix,Female,83.8
Cervix,Female,67.3
Cervix,Female,73.7
Cervix,Female,74.2
Cervix,Female,80.9
Cervix,Female,65.1
Cervix,Female,83.2
Cervix,Female,90.3
Cervix,Female,84.5
Cervix,Female,79.3
Cervix,Female,64.2
Cervix,Female,72.8
Cervix,Female,63.8
Cervix,Female,70.7
Cervix,Female,55.6
Cervix,Female,64.1
Cervix,Female,56
Cervix,Female,59.3
Cervix,Female,53.6
Cervix,Female,60
Cervix,Female,49.4
Cervix,Female,45.5
Cervix,Female,56
Cervix,Female,41
Cervix,Female,57.7
Cervix,Female,63.6
Cervix,Female,55.6
Cervix,Female,41.6
Cervix,Female,35.1
Cervix,Female,40.7
Cervix,Female,35.7
Cervix,Female,23.2
Cervix,Female,28.5
Cervix,Female,33.3
Cervix,Female,28.9
Cervix,Female,27.1
Cervix,Female,28.9
Cervix,Female,20.8
Cervix,Female,25.9
Colon,Female,99.7
Colon,Female,99.2
Colon,Female,99.4
Colon,Female,98
Colon,Female,99.4
Colon,Female,98.3
Colon,Female,98.9
Colon,Female,96.7
Colon,Female,98
Colon,Female,95.5
Colon,Female,97.6
Colon,Female,94.8
Colon,Female,96.1
Colon,Female,93.6
Colon,Female,98
Colon,Female,97.8
Colon,Female,97.4
Colon,Female,95.2
Colon,Female,97.1
Colon,Female,96.2
Colon,Female,95.7
Colon,Female,92.7
Colon,Female,95.3
Colon,Female,93.8
Colon,Female,94.1
Colon,Female,91.2
Colon,Female,93.8
Colon,Female,92.9
Colon,Female,91.6
Colon,Female,89.4
Colon,Female,91.8
Colon,Female,92.1
Colon,Female,90.7
Colon,Female,88.1
Colon,Female,96.4
Colon,Female,95.2
Colon,Female,93.6
Colon,Female,89.4
Colon,Female,91
Colon,Female,88.3
Colon,Female,86.3
Colon,Female,81.2
Colon,Female,86.5
Colon,Female,83.3
Colon,Female,80.6
Colon,Female,75.3
Colon,Female,82.7
Colon,Female,78.1
Colon,Female,76.4
Colon,Female,70.9
Colon,Female,79.5
Colon,Female,74.8
Colon,Female,74.3
Colon,Female,68.8
Colon,Female,60.2
Colon,Female,57.5
Colon,Female,53.1
Colon,Female,41.5
Colon,Female,36.1
Colon,Female,36.9
Colon,Female,31.6
Colon,Female,23.3
Colon,Female,26.4
Colon,Female,27.4
Colon,Female,21.1
Colon,Female,14.9
Colon,Female,19.1
Colon,Female,21.4
Colon,Female,15.9
Colon,Female,12.3
Colon,Female,17
Colon,Female,18.3
Colon,Female,13.6
Colon,Female,10.3
Colon,Male,100
Colon,Male,98.9
Colon,Male,99
Colon,Male,97.8
Colon,Male,99.2
Colon,Male,97.8
Colon,Male,98.4
Colon,Male,96.6
Colon,Male,97.9
Colon,Male,95.3
Colon,Male,97.3
Colon,Male,93.9
Colon,Male,96.7
Colon,Male,93.3
Colon,Male,98.1
Colon,Male,98.2
Colon,Male,97
Colon,Male,96
Colon,Male,95.3
Colon,Male,95.8
